hint_1|Ira furor brevis est. - 'Wrath is but a brief madness'
hint_2|Igitur qui desiderat pacem, praeparet bellum. - 'Therefore let him who desires peace get ready for war.'
hint_3|Aliis si licet, tibi non licet. - 'To others it is permitted, to you it is not permitted'
hint_4|Acta Non Verba. - 'Actions instead of words'
hint_5|Semper Idem - 'Always the same.'
hint_6|Male parta male dilabuntur - 'What has been wrongly gained is wrongly lost.'
hint_7|Fortes fortuna adiuvat. - 'Luck is with the bravest.'
hint_8|Omnes una manet nox - 'One night awaits everyone.'
hint_9|Carpe diem. - 'Seize the day.'
hint_10|Quis, Quid, Ubi, Quibus Auxiliis, Cur, Quomodo, Quando? - 'Who, what, where, with what, why, how, when?'
hint_11|In vino veritas. - 'Truth lies in wine'
hint_12|Exitus Acta Probat – ‘The result justifies the deed.’
hint_13|Alea iacta est. - 'The die is cast.'
hint_14|Veni, vidi, vici. - 'I came, I saw, I conquered.'
hint_15|Memento mori. - 'Remember that you must die.'
hint_16|Oderint dum metuant. - 'Let them hate, so long as they fear.'
hint_17|Vae victis. - 'Woe to the vanquished.'
hint_18|Dulce et decorum est pro patria mori. - 'It is sweet and fitting to die for one's country.'
hint_19|Non ducor, duco. - 'I am not led, I lead.'
hint_20|Panem et circenses. - 'Bread and circuses.'
hint_21|Homo homini lupus est. - 'Man is wolf to man.'
hint_22|Pecunia non olet. - 'Money does not stink.'
hint_23|Repetitio est mater studiorum. - 'Repetition is the mother of learning.'
hint_24|De omnibus dubitandum. - 'Be suspicious of everything.'
hint_25|Ad astra per aspera. - 'Through hardship to the stars.'
hint_26|Barba non facit philosophum. - 'A beard does not make a philosopher.'
hint_27|Draco dormiens nunquam titillandus. - 'Never tickle a sleeping dragon.'
hint_28|Festina lente. - 'Make haste slowly.'
hint_29|Audere est Facere. - 'To dare is to do.'
hint_30|In absentia lucis, lupi vivunt. - 'In the absence of light, wolves live.'